"from"	"patent"	"patent_date"	"name"	"from_cpc"	"backward_citations"
"6906762"	"8941691"	"2015-01-01"	"Baron"	"G09G"	"11.0"
"6369830"	"8941691"	"2015-01-01"	"Baron"	"G09G"	"11.0"
"8436873"	"8941691"	"2015-01-01"	"Baron"	"G09G"	"11.0"
"8432411"	"8941691"	"2015-01-01"	"Baron"	"G09G"	"11.0"
"8416149"	"8941691"	"2015-01-01"	"Baron"	"G09G"	"11.0"
"7746356"	"8941691"	"2015-01-01"	"Baron"	"G09G"	"11.0"
"6906762"	"8941691"	"2015-01-01"	"Baron"	"H04N"	"11.0"
"5745197"	"8941691"	"2015-01-01"	"Baron"	"H04N"	"11.0"
"6195104"	"8941691"	"2015-01-01"	"Baron"	"H04N"	"11.0"
"6906762"	"8941691"	"2015-01-01"	"Baron"	"G02F"	"11.0"
"5745197"	"8941691"	"2015-01-01"	"Baron"	"G02F"	"11.0"
"8436873"	"8941691"	"2015-01-01"	"Baron"	"G02F"	"11.0"
"6906762"	"8941691"	"2015-01-01"	"Baron"	"G02B"	"11.0"
"5745197"	"8941691"	"2015-01-01"	"Baron"	"G02B"	"11.0"
"5022085"	"8941691"	"2015-01-01"	"Baron"	"G06T"	"11.0"
"6369830"	"8941691"	"2015-01-01"	"Baron"	"G06T"	"11.0"
"6195104"	"8941691"	"2015-01-01"	"Baron"	"A63F"	"11.0"
"6195104"	"8941691"	"2015-01-01"	"Baron"	"G06F"	"11.0"
"7746356"	"8941691"	"2015-01-01"	"Baron"	"G06F"	"11.0"
"6507413"	"8941691"	"2015-01-01"	"Baron"	"B44C"	"11.0"
"7193631"	"8941691"	"2015-01-01"	"Baron"	"B44C"	"11.0"
"6507413"	"8941691"	"2015-01-01"	"Baron"	"B44F"	"11.0"
"7193631"	"8941691"	"2015-01-01"	"Baron"	"B44F"	"11.0"
"6507413"	"8941691"	"2015-01-01"	"Baron"	"B41J"	"11.0"
"7193631"	"8941691"	"2015-01-01"	"Baron"	"B41J"	"11.0"
"6507413"	"8941691"	"2015-01-01"	"Baron"	"G06K"	"11.0"
"7193631"	"8941691"	"2015-01-01"	"Baron"	"G06K"	"11.0"
"6507413"	"8941691"	"2015-01-01"	"Baron"	"Y10T"	"11.0"
"7193631"	"8941691"	"2015-01-01"	"Baron"	"Y10T"	"11.0"
"4792850"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4670744"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"5032007"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"5745197"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4333715"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"6147741"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"5107352"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4190856"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4165922"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"3992082"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"3955208"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4541692"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4294516"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"6414728"	"6906762"	"2005-06-01"	"Witehira et al."	"G02F"	"33.0"
"4792850"	"6906762"	"2005-06-01"	"Witehira et al."	"G03B"	"33.0"
"3955208"	"6906762"	"2005-06-01"	"Witehira et al."	"G03B"	"33.0"
"6414728"	"6906762"	"2005-06-01"	"Witehira et al."	"G03B"	"33.0"
"4792850"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5557684"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"4670744"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5764317"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5745197"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5956180"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5132839"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5086354"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5589980"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"6100862"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5689316"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"4190856"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"4736214"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"4472737"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"4281341"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"6414728"	"6906762"	"2005-06-01"	"Witehira et al."	"H04N"	"33.0"
"5557684"	"6906762"	"2005-06-01"	"Witehira et al."	"G06K"	"33.0"
"5557684"	"6906762"	"2005-06-01"	"Witehira et al."	"G06T"	"33.0"
"6100862"	"6906762"	"2005-06-01"	"Witehira et al."	"G06T"	"33.0"
"4670744"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5764317"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5745197"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5956180"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5086354"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5589980"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"4333715"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"6100862"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5689316"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"5990990"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"4190856"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"4736214"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"4472737"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"4294516"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"6414728"	"6906762"	"2005-06-01"	"Witehira et al."	"G02B"	"33.0"
"4670744"	"6906762"	"2005-06-01"	"Witehira et al."	"G09G"	"33.0"
"4333715"	"6906762"	"2005-06-01"	"Witehira et al."	"G09F"	"33.0"
"4294516"	"6906762"	"2005-06-01"	"Witehira et al."	"G09F"	"33.0"
"5132878"	"6906762"	"2005-06-01"	"Witehira et al."	"H01L"	"33.0"
"5132878"	"6906762"	"2005-06-01"	"Witehira et al."	"H05K"	"33.0"
"5107352"	"6906762"	"2005-06-01"	"Witehira et al."	"C09K"	"33.0"
"3992082"	"6906762"	"2005-06-01"	"Witehira et al."	"B32B"	"33.0"
"6414728"	"6906762"	"2005-06-01"	"Witehira et al."	"G06F"	"33.0"
"7724208"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"4.0"
"7205959"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"4.0"
"7724208"	"8890771"	"2014-11-01"	"Pance"	"G02B"	"4.0"
"7724208"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"4.0"
"7205959"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"4.0"
"7619585"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"4.0"
"7724208"	"8890771"	"2014-11-01"	"Pance"	"H04N"	"4.0"
"7619585"	"8890771"	"2014-11-01"	"Pance"	"H04N"	"4.0"
"7205959"	"8890771"	"2014-11-01"	"Pance"	"G02F"	"4.0"
"7205959"	"8890771"	"2014-11-01"	"Pance"	"G09F"	"4.0"
"7205959"	"8890771"	"2014-11-01"	"Pance"	"H04M"	"4.0"
"6760003"	"8890771"	"2014-11-01"	"Pance"	"G04G"	"4.0"
