"to"	"patent"	"patent_date"	"name"	"to_cpc"	"forward_citations"
"10062352"	"9530381"	"2016-12-01"	"Bozarth"	"G09G"	"3.0"
"10078977"	"9530381"	"2016-12-01"	"Bozarth"	"G09G"	"3.0"
"10062352"	"9530381"	"2016-12-01"	"Bozarth"	"H01L"	"3.0"
"10078977"	"9530381"	"2016-12-01"	"Bozarth"	"G02F"	"3.0"
"10078977"	"9530381"	"2016-12-01"	"Bozarth"	"G06F"	"3.0"
"10324237"	"9458989"	"2016-10-01"	"Hsu et al."	"G02B"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"G02B"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"F21V"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"B82Y"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"G02F"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"G09F"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"Y10S"	"3.0"
"9927616"	"9458989"	"2016-10-01"	"Hsu et al."	"G03B"	"3.0"
"9978299"	"9437131"	"2016-09-01"	"Nagara"	"G02B"	"2.0"
"9978299"	"9437131"	"2016-09-01"	"Nagara"	"G09G"	"2.0"
"9978299"	"9437131"	"2016-09-01"	"Nagara"	"G02F"	"2.0"
"9978299"	"9437131"	"2016-09-01"	"Nagara"	"H01L"	"2.0"
"9978299"	"9437131"	"2016-09-01"	"Nagara"	"H04N"	"2.0"
"10180741"	"9373290"	"2016-06-01"	"Lee"	"G06F"	"3.0"
"10180741"	"9373290"	"2016-06-01"	"Lee"	"G09G"	"3.0"
"9766496"	"9354470"	"2016-05-01"	"Ash"	"H01L"	"2.0"
"9766496"	"9354470"	"2016-05-01"	"Ash"	"G02F"	"2.0"
"10120269"	"9316889"	"2016-04-01"	"Baker"	"G03B"	"3.0"
"10097801"	"9316889"	"2016-04-01"	"Baker"	"G03B"	"3.0"
"10097801"	"9316889"	"2016-04-01"	"Baker"	"F21V"	"3.0"
"10097801"	"9316889"	"2016-04-01"	"Baker"	"G06F"	"3.0"
"10097801"	"9316889"	"2016-04-01"	"Baker"	"H04N"	"3.0"
"10354981"	"9000459"	"2015-04-01"	"Brown"	"H01L"	"2.0"
"10354981"	"9000459"	"2015-04-01"	"Brown"	"G09G"	"2.0"
"10154251"	"8941691"	"2015-01-01"	"Baron"	"G02B"	"3.0"
"9582927"	"8941691"	"2015-01-01"	"Baron"	"G02B"	"3.0"
"10154251"	"8941691"	"2015-01-01"	"Baron"	"H04N"	"3.0"
"9582927"	"8941691"	"2015-01-01"	"Baron"	"H04N"	"3.0"
"9582927"	"8941691"	"2015-01-01"	"Baron"	"G06T"	"3.0"
"10126849"	"8890771"	"2014-11-01"	"Pance"	"A47F"	"7.0"
"10126849"	"8890771"	"2014-11-01"	"Pance"	"G07F"	"7.0"
"10126849"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"7.0"
"9910518"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"7.0"
"9196190"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"7.0"
"9454187"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"7.0"
"10133373"	"8890771"	"2014-11-01"	"Pance"	"G06F"	"7.0"
"10126849"	"8890771"	"2014-11-01"	"Pance"	"G09F"	"7.0"
"10126849"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"7.0"
"10170030"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"7.0"
"9196190"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"7.0"
"10133373"	"8890771"	"2014-11-01"	"Pance"	"G09G"	"7.0"
"10126849"	"8890771"	"2014-11-01"	"Pance"	"G02F"	"7.0"
"9910518"	"8890771"	"2014-11-01"	"Pance"	"G05B"	"7.0"
"9454187"	"8890771"	"2014-11-01"	"Pance"	"H04M"	"7.0"
"9454187"	"8890771"	"2014-11-01"	"Pance"	"H04B"	"7.0"
"10027936"	"8804053"	"2014-08-01"	"Kim"	"G03B"	"2.0"
