"patent"	"inventors_country_frac"	"assignees_country_frac"	"inventors_country_mode"	"assignees_country_mode"	"name"	"date"	"year"	"forward_citations"	"generality_hhi"	"patent_cpcs"	"country"	"VoC"
"4240895"	"{'US': 1.0}"	"{}"	"['US']"	""	"Lees"	"1991-02-01"	"1991"	"11.0"	"0.88"	"C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B|C25B"	"US"	"LME"
"4893178"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Matama et al."	"1990-01-01"	"1990"	"11.0"	"0.56"	"G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N|G03B|H04N"	"JP"	"CME"
"4896067"	"{'DE': 1.0}"	"{'DE': 1.0}"	"['DE']"	"['DE']"	"Walther"	"1990-01-01"	"1990"	"14.0"	"0.66"	"H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K|H02K"	"DE"	"CME"
"4900212"	"{'JP': 1.0}"	"{'US': 1.0}"	"['JP']"	"['US']"	"Mikahara"	"1990-02-01"	"1990"	"18.0"	"0.76"	"Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L"	"US"	"LME"
"4903398"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Sakamoto et al."	"1990-02-01"	"1990"	"11.0"	"0.72"	"G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T|G01M|Y10T"	"JP"	"CME"
"4904528"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Gupta"	"1990-02-01"	"1990"	"13.0"	"0.89"	"C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T|C23C|Y10T"	"US"	"LME"
"4908793"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Yamagata et al."	"1990-03-01"	"1990"	"26.0"	"0.7"	"G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C|G11B|G11C"	"JP"	"CME"
"4910164"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Shichijo"	"1990-03-01"	"1990"	"40.0"	"0.63"	"H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S|H01L|Y10S"	"US"	"LME"
"4914476"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Nishitsuji et al."	"1990-04-01"	"1990"	"17.0"	"0.77"	"G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G|G03G"	"JP"	"CME"
"4919246"	"{'FR': 1.0}"	"{'FR': 1.0}"	"['FR']"	"['FR']"	"Gay et al."	"1990-04-01"	"1990"	"4.0"	"0.89"	"F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D|F16D"	"FR"	"MME"
